der/die/das,il/la/lo
Ton,tono
verkaufen,vendere
zweite,secondo
Mannschaft,squadra
Partner,partner
Gedanke,pensiero
Schuhe,scarpe
aktuell,attuale
Behörde,autorità
Bedingung,condizione
Sommer,estate
Pflanze,pianta
elf,undici
Ruhe,riposo
gesamt,intero
fühlen,sentire
schön,bello
Sport,sport
springen,saltare
Runde,giro
Position,posizione
zwölf,dodici
Prozent,percentuale
geschehen,accadere
genug,abbastanza
blind,cieco
Urteil,giudizio
Lust,voglia
Witz,battuta
Kunst,arte
Mord,omicidio
traurig,triste
üben,esercitare
genießen,godere
Temperatur,temperatura
Zuschauer,spettatore
beschreiben,descrivere
Kontrolle,controllo
Zelle,cella
Beratung,consulenza
Schlag,colpo
wild,selvaggio
Absicht,intenzione
Himmel,cielo
Eingang,ingresso
Wissenschaft,scienza
Auswahl,selezione
fliegen,volare
Verfügung,disposizione
Hose,pantaloni
Gewinn,profitto
Besucher,visitatore
frisch,fresco
Demokratie,democrazia
beweisen,dimostrare
Wirkung,effetto
freuen,rallegrarsi
Teufel,diavolo
Mitte,metà
Haushalt,famiglia
Abteilung,dipartimento
April,aprile
Fähigkeit,capacità
Einfluss,influenza
Suche,ricerca
tief,profondo
Institut,istituto
Herbst,autunno
fest,fisso
Milch,latte
hassen,odiare
Maßnahme,misura
wenden,girare
Sitz,sede
Vorschlag,proposta
verwenden,usare
Führung,leadership
Stimmung,umore
dauernd,costante
gefallen,piacere
stecken,infilare
Verein,associazione
entfernen,rimuovere
Bürger,cittadino
Blut,sangue
wach,sveglio
Zugang,accesso
Frühling,primavera
Wunsch,desiderio
Zitat,citazione
Gewicht,peso
Schnee,neve
untersuchen,esaminare
müde,stanco
Eis,ghiaccio
kritisch,critico
einrichten,allestire
Daten,dati
Gericht,tribunale
dumm,stupido
wandern,camminare
selten,raro
Lauf,corsa
erhöhen,aumentare
Schiff,nave
umziehen,traslocare
Schlaf,sonno
Getränk,bevanda
Fisch,pesce
verdienen,guadagnare
brennen,bruciare
König,re
Einladung,invito
Zustand,stato
Bär,orso
normal,normale
Fahrer,autista
Griff,maniglia
Fels,roccia
Krise,crisi
Mund,bocca
Übung,esercizio
Fläche,superficie
Vorsicht,attenzione
Post,posta
prüfen,verificare
zerstören,distruggere
Stimme,voce
Leitung,direzione
Religion,religione
steigen,salire
beschließen,decidere
Kreis,cerchio
Konzert,concerto
Spur,traccia
Gesundheit,salute
ansehen,guardare
Geheimnis,segreto
Bildung,formazione
kämpfen,combattere
bestätigen,confermare
schuld,colpevole
beenden,finire
erlauben,permettere
Vorwurf,rimprovero
Termin,appuntamento
Beweis,prova
Recht,diritto
lassen,lasciar fare
Dollar,dollaro
stören,disturbare
nackt,nudo
erleben,vivere
ausschließen,escludere
beschäftigen,occupare
Kälte,freddo
Vorteil,vantaggio
öffnen,aprire
Prozess,processo
laut,rumoroso
verwenden,utilizzare
Alter,età
Vogel,uccello
Sicherheit,sicurezza
Verständnis,comprensione
Methode,metodo
Küche,cucina
vorbereiten,preparare
Bein,gamba
Rock,gonna
drohen,minacciare
Zähne,denti
Bank,banca
Tante,zia
krank,malato
Saal,sala
Erklärung,spiegazione
Prinzip,principio
Reifen,pneumatico
Ziel,obiettivo
Kriterium,criterio
Ordnung,ordine
Volk,popolo
schätzen,stimare
Dauer,durata
Schwein,maiale
Abstand,distanza
darstellen,rappresentare
Vertreter,rappresentante
Chef,capo
verteilen,distribuire
erfolgen,avvenire
Sommer,estate
Sicherheit,sicurezza
anrufen,chiamare
Tier,animale
werfen,lanciare
Verfahren,procedura
Charakter,carattere
Tabelle,tabella
Verlag,editore
Gesetz,legge
Umgebung,ambiente
Haut,pelle
Nachmittag,pomeriggio
Einstellung,atteggiamento
gültig,valido
Fahrzeug,veicolo
international,internazionale
voll,pieno
entsetzt,sconvolto
Serie,serie
gelingen,riuscire
übrig,rimanente
Schall,suono
abgeben,consegnare
klar,chiaro
leiten,guidare
Sonne,sole
empfehlen,raccomandare
ausreichen,bastare
seitdem,da allora
ausdrücken,esprimere
Eisen,ferro
Wissenschaftler,scienziato
Wunder,miracolo
Netz,rete
Regel,regola
fürchten,temere
Schatten,ombra
Mehrheit,maggioranza
Schule,scuola
gefährlich,pericoloso
Gold,oro
Album,album
Verwaltung,amministrazione
Gast,ospite
Roman,romanzo
vorziehen,preferire
aussprechen,pronunciare
König,re
durchführen,eseguire
Linie,linea
Schaden,danno
Fluss,fiume
Jahrhundert,secolo
Staat,stato
wünschen,desiderare
Publikum,pubblico
Verkehr,traffico
anschauen,guardare
Atem,respiro
Prüfung,esame
echt,vero
Verhältnis,rapporto
Hersteller,produttore
Salz,sale
Sorte,tipo
Titel,titolo
Faktor,fattore
Anwendung,applicazione
herstellen,produrre
Werkstatt,officina
Magen,stomaco
Aspekt,aspetto
Transport,trasporto
Einnahme,entrata
Hölle,inferno
Szenario,scenario
Konzeption,concezione
Sturm,tempesta
Umfrage,sondaggio
Wange,guancia
Keller,cantina
langsam,lento
öffentlich,pubblico
Gefahr,pericolo
Element,elemento
Vater,padre
Verbesserung,miglioramento
Reparatur,riparazione
Versuch,tentativo
Schuld,colpa
Pfanne,padella
Trainer,allenatore
Minute,minuto
